genes	entrez	logFC
NAMPT	10135	-2.06684401757143
NAP1L3	4675	-2.921057746
NFKBIA	4792	-0.265058146571429
NFKBIZ	64332	-1.57910671883333
NKAIN2	154215	-0.963090345222222
NPR3	4883	-0.173747729833333
NR4A2	4929	-0.576112002428571
NUSAP1	51203	-1.03185440066667
OLFML2A	169611	0.0810171911428572
OSCAR	126014	0.623398853833333
PCED1B	91523	-0.501614111833333
PDE4B	5142	0.185971972
PF4	5196	-2.13905953433333
PFAS	5198	-0.824579581
PLBD1	79887	-2.7973066285
PLOD2	5352	-0.944195370833333
PLXNC1	10154	-1.742479162
PMAIP1	5366	0.6951049745
PRG2	5553	-2.11638486
PROK2	60675	3.11769725316667
PROM1	8842	0.0355981721666667
PTGS2	5743	-1.0323347947
PTH2R	5746	3.32539614516667
RAD51AP1	10635	-0.702151976
RASGRP1	10125	-0.7919149145
RASGRP3	25780	1.89899942185714
RGS1	5996	0.2516344225
RGS2	5997	-0.142116915666667
RHOB	388	1.0663989405
RNASE2	6036	-0.676639455375
S100A8	6279	-0.987464276
S100P	6286	2.12753346783333
SAT1	6303	-0.2274903075
SERPINE2	5270	-1.1601425005
SGK1	6446	-0.6327625135
SGPP1	81537	-1.2864987495
SLC2A3	6515	-1.178798668
SLC40A1	30061	-0.9489506405
SLPI	6590	0.0220218696666667
SORL1	6653	0.3384375845
SPP1	6696	0.79919644375
TFPI	7035	1.475977742
TGFBI	7045	-2.09229900883333
THBS1	7057	-0.163433985
TM4SF1	4071	1.169646231
TM6SF1	53346	0.537307739
TMEM176A	55365	0.846512266714286
TMEM176B	28959	0.851479848666667
TMEM71	137835	1.47756396871429
TNFSF10	8743	-0.619984692428571
TOP2A	7153	-1.35476382728571
TPSAB1	7177	1.45752180142857
TPX2	22974	-1.04411607616667
TRIB1	10221	0.359405795
TRIB2	28951	0.0868196063333334
TSPAN13	27075	0.26030699275
TYROBP	7305	1.29730682933333
WT1	7490	2.81807959816667
WT1-AS	51352	2.35749895566667
ZFP36	7538	-1.195428036
